key,en
dummy_key,dummy_value
accessibility_title,Accessibility
accessibility_colorblind,Colorblind Correction
accessibility_colorblind_off,Off
accessibility_colorblind_protanopia,Protanopia
accessibility_colorblind_deuteranopia,Deuteranopia
accessibility_colorblind_tritanopia,Tritanopia
accessibility_subtitles,Subtitles
accessibility_subtitle_size,Subtitle Size
accessibility_subtitle_size_small,Small
accessibility_subtitle_size_medium,Medium
accessibility_subtitle_size_large,Large
accessibility_subtitle_size_xlarge,Extra Large
accessibility_subtitle_color,Subtitle Color
accessibility_subtitle_color_white,White
accessibility_subtitle_color_yellow,Yellow
accessibility_subtitle_color_cyan,Cyan
accessibility_subtitle_color_green,Green
accessibility_speaker_labels,Show Speaker Labels
accessibility_subtitle_background,Subtitle Background
accessibility_aim_assist,Aim Assist
accessibility_aim_assist_strength,Aim Assist Strength
accessibility_aim_assist_snap,Snap to Target
accessibility_aim_assist_friction,Aim Friction (Slow Near Targets)
accessibility_hints,Puzzle Hints
accessibility_hints_enable,Enable Puzzle Hints
accessibility_hint_delay,Hint Delay (seconds)
accessibility_hint_detail,Hint Detail Level
accessibility_hint_detail_brief,Brief
accessibility_hint_detail_detailed,Detailed
accessibility_hint_detail_full,Full Solution
accessibility_auto_retry,Auto-Fail Retry
accessibility_auto_retry_enable,Enable Auto-Retry on Failure
accessibility_auto_retry_max,Max Retries
accessibility_auto_retry_restart,Restart from Checkpoint
accessibility_remap,Input Remapping
accessibility_remap_reset,Reset All to Defaults
accessibility_remap_rebind,Rebind
accessibility_remap_press_key,Press any key...
accessibility_back,Back
